Marca temporal,¿Qué herramienta estás evaluando?,1. La herramienta fue fácil de usar,"2. Si tuviste dificultades al usar la herramienta, explica qué aspectos fueron complicados.",3. La herramienta me pareció innecesariamente compleja.,"4. Si consideras que la herramienta fue compleja, describe qué elementos fueron confusos.",5. Encontró inconsistencias en el funcionamiento de la herramienta.,"6. Describe qué inconsistencias encontraste (por ejemplo: botones que no funcionan, instrucciones poco claras, errores en el juego, etc.).",7. Las actividades del juego me ayudaron a comprender mejor el contenido en inglés.,8. Explica por qué consideras que el juego ayudó o no ayudó a tu aprendizaje.,9. El uso del juego hizo que la actividad fuera más interesante que una actividad tradicional de clase.,10. Explica qué aspectos hicieron la actividad más interesante o menos interesante.,11. El juego facilitó mi participación durante la actividad.,12. Explica cómo influyó el juego en tu participación.,13. ¿Qué aspectos de la herramienta te ayudaron más a aprender inglés?,14. ¿Qué dificultades o problemas encontraste al utilizar la herramienta?,"15. Si pudieras mejorar estas herramientas para aprender inglés, ¿Qué cambios realizarías?",¿Qué herramienta estás evaluando? 2,1. La herramienta fue fácil de usar 2,"2. Si tuviste dificultades al usar la herramienta, explica qué aspectos fueron complicados. 2",3. La herramienta me pareció innecesariamente compleja. 2,"4. Si consideras que la herramienta fue compleja, describe qué elementos fueron confusos. 2",5. Encontré inconsistencias en el funcionamiento de la herramienta.,"6. Describe qué inconsistencias encontraste (por ejemplo: botones que no funcionan, instrucciones poco claras, errores en el juego, etc.). 2",7. Las actividades del juego me ayudaron a comprender mejor el contenido en inglés. 2,8. Explica por qué consideras que el juego ayudó o no ayudó a tu aprendizaje. 2,9. El uso del juego hizo que la actividad fuera más interesante que una actividad tradicional de clase. 2,10. Explica qué aspectos hicieron la actividad más interesante o menos interesante. 2,11. El juego facilitó mi participación durante la actividad. 2,12. Explica cómo influyó el juego en tu participación. 2,13. ¿Qué aspectos de la herramienta te ayudaron más a aprender inglés? 2,14. ¿Qué dificultades o problemas encontraste al utilizar la herramienta? 2,"15. Si pudieras mejorar estas herramientas para aprender inglés, ¿Qué cambios realizarías? 2",¿Qué herramienta estás evaluando? 3,1. La herramienta fue fácil de usar 3,"2. Si tuviste dificultades al usar la herramienta, explica qué aspectos fueron complicados. 3",3. La herramienta me pareció innecesariamente compleja. 3,"4. Si consideras que la herramienta fue compleja, describe qué elementos fueron confusos. 3",5. Encontré inconsistencias en el funcionamiento de la herramienta. 2,"6. Describe qué inconsistencias encontraste (por ejemplo: botones que no funcionan, instrucciones poco claras, errores en el juego, etc.). 3",7. Las actividades del juego me ayudaron a comprender mejor el contenido en inglés. 3,8. Explica por qué consideras que el juego ayudó o no ayudó a tu aprendizaje. 3,9. El uso del juego hizo que la actividad fuera más interesante que una actividad tradicional de clase. 3,10. Explica qué aspectos hicieron la actividad más interesante o menos interesante. 3,11. El juego facilitó mi participación durante la actividad. 3,12. Explica cómo influyó el juego en tu participación. 3,13. ¿Qué aspectos de la herramienta te ayudaron más a aprender inglés? 3,14. ¿Qué dificultades o problemas encontraste al utilizar la herramienta? 3,"15. Si pudieras mejorar estas herramientas para aprender inglés, ¿Qué cambios realizarías? 3"
2026-04-15 16:39:35.236,Duolingo,5,,1,,1,,5,repite la pregunta hasta contestar bien,5,"la interfaz, la forma de tomar la lección",5,al tener animaciones fue mas divertido,"el apartado de ""aprender""",,más gemas en cada lección,Grammar Ninja,5,,1,,4,no hay un aviso al terminar el tiempo,5,en cada fallo elimina la palabra incorrecta hasta contestar bien,5,las imagenes,4,fue mas didáctico y divertido,las imágenes,no hay un aviso al terminarse el tiempo,poner un aviso o penitencia al terminar el tiempo y no contestar,British Council Games,2,mucho texto,4,los menus,1,,4,ayuda debido a que toma prueba en las lecciones,2,tiene mucho texto,2,no es didáctico,los tests,encontrar los cursos,una guía al iniciar por primera vez
2026-04-15 17:41:01.145,Duolingo,5,,1,,1,,5,"Porque me enseña vocabulario, pero las oraciones no funcionan a nivel práctico",5,Las animaciones de los personajes al momento de mostrar la pregunta,5,Me motivó a completar la actividad,La posibilidad de ver la traducción de las palabras,,Aumentaría los tipos de gramática que se enseñan,British Council Games,5,,1,,1,,5,Porque puedes elegir que componente estudiar y toda la actividad fluye alrededor del elegido,4,La capacidad de ver tus errores al acabar el ejercicio,4,Hizo que quisiera conseguir una alta puntuación,La capacidad de ver tus errores al acabar el ejercicio,El tiempo que proporciona para responder,Agregaría un modo infinito donde el ejercicio se acabe el primer error,Grammar Ninja,5,,1,,1,,5,"Porque enlaza una imagen a cada frase, y esto facilita el aprendizaje",5,La demostración de la frase en una imagen,5,Que el tiempo cuente en la puntuación hizo que busque alcanzar la máxima,La demostración de la frase en una imagen,El tiempo cuenta en la puntuación final,Un modo de revisión con la traducción de cada frase
2026-04-15 18:13:08.980,Duolingo,5,no tuve ningún inconveniente,1,No fue para nada compleja,1,todo funciona de la mejor manera,5,"Ayudó, dado que usa diferentes formas o metodologías de enseñanza, incluso la de hablar uno mismo",5,"Los gráficos, colores y la simplicidad de uso",5,Los gráficos hacen más dinámica la interacción de la persona con el aplicativo,El speaking,No encontré ninguna,"Poder poner en pausa el aprendizaje, es decir si inicio una lección, pero quiero continuar luego, quiero que se quede en donde la dejé",British Council Games,2,"La gran cantidad de anuncios, ya sean en video o en pop up, dificultan el uso del aplicativo",2,"Es algo compleja, debido a que si no sabes nada de inglés, la aplicación puede ser difícil usarla, dado que toda su interfaz está en inglés",2,"El cambio al idioma español, únicamente cambia los diálogos del personaje, mas no de la interfaz para seleccionar categoría, por ejemplo",2,"No siento que ayude mucho una interfaz que no te conecte con la aplicación, y más con tantos anuncios, me da ganas de salir en vez de aprender",1,"Para nada interesante, una interfaz algo vieja y demasiados anuncios",3,"No ayudó en casi nada, ya que varias veces pasé viendo anuncios al navegar en la aplicación",La parte de grammar,Demasiados anuncios,"Quitar el 90% de los anuncios, son demasiados. Además actualizaría la interfaz gráfica",Grammar Ninja,4,"Si no supieras inglés, hay mucho texto en ese idioma, además de que no hay nada en español que de una introducción",2,"No es compleja, pero tienes que navegar por ella para encontrar ciertas funcionalidades como la sección de profesores",2,"en la teacher section, tienes algunas opciones, las cuales aunque no estés ingresado a tu cuenta, te deja ver, excepto la de Homework tasks",5,Los gráficos hacen que se conecte más con la aplicación y se entienda mejor,5,Las animaciones,5,Es fácil e intuitivo el juego como tal,La interfaz gráfica del juego,No hay una guía en español,"Agregar una guía en diferentes idiomas, para aquellas personas que no saben nada de inglés"
2026-04-15 18:13:10.626,Duolingo,5,"Sin complicaciones, es intuitiva a nivel de funcionalidad",2,"No es compleja, pero le califico con 2 porque en el apartado de navegación no te explican para qué es cada uno de los botones/iconos que hay",1,"No hay errores en el juego, solo la falta de conocimiento del menú de navegación",4,"Al ser una app que te enseña inglés y te mantiene activo con los días de racha, no considero que sea muy eficiente para aprender 100% inglés porque no hay un tipo de algo que me impida que no haga las lecciones, no hay una recompensa más allá de puntos de juego.",5,"En este aspecto en cuanto lo de ser más dinámico que las clases, pues si, aunque en una clase se aprende más que en la plataforma pues Duolingo si te ofrece una plataforma dinámica.",5,"A través de diferentes actividades en una misma lección, como, por ejemplo: Repetir la pronunciación, llenado de espacios en blanco, traducir frases.","Sus lecciones diarias, nivel de racha (hasta cierto punto por la constancia)",La falta de información o un pequeño título a las opciones del menú que tenemos para movernos entre pantallas.,Otro sistema para que el usuario se sienta más motivado de entrar a mi plataforma y así el aprender inglés sea más efectivo. Sistema de recompensas.,Grammar Ninja,5,"La página me parece muy clara en lo que ofrece y en sus herramientas, todo está puesto para que es y para que sirve.",1,"Sus módulos, minijuegos, secciones son claras en cuanto a su presentación",1,Se probó más de 10 minijuegos del módulo Games y todos tienen información clara e instrucciones para que el usuario las complete.,4,"A pesar de no tener un sistema de racha, o de seguimiento, sus secciones y lecciones te ayudan a entender las bases de ingles.",5,"Su increíble sección de juegos es extensa lo que permite que aprender sea algo dinámico, comparado con las clases tradicionales.",4,"Hay diferentes modos de juego en los que mi participación fue cambiando, lo que no lo hizo repetitivo a la típica app que solo es de escoger y ya. Pero lo que si es que esta percepción puede verse disminuida a que las lecciones no van cambiando con el tiempo, tienen las mismas preguntas y respuestas. Por lo que después de un tiempo puede influir tu participación en algo monótono","Sus diferentes módulos de juegos, y forma de resolverlos. No es algo estático en su funcionamiento.","Las lecciones si las quieres volver a intentar, no van a cambiar, son ya preestablecidas. Por lo que en un tiempo de haber interactuado con la página puede ser monótono","Una racha de días, un incentivo más para que vuelvan a mi plataforma, un sistema de recordatorios.",British Council Games,5,"Es básica, pero ofrece lo que promociona, aprender inglés, aunque su manera no me guste en lo personal.",1,"Sus módulos están explicados, de forma sencilla, pero se entiende sin tanto esfuerzo.",1,"No encontré inconsistencias, sus botones e interfaz funciona a pesar de no tener un atractivo visual.",3,"Considero que la información o secciones que hay en cada módulo (Grammar, Words, Spelling)  son muy pocos y si quiero volver a ver por ejemplo una lección en grammar de adjectives y adverbs las preguntas no cambian. Siempre son las mismas por lo que el aprendizaje se limita.
Tambien otro punto es la parte de la retroalimentación de cuando esté bien o mal una pregunta, sería bueno que se mejore y no solo dar cual era la respuesta correcta.",2,"Lo que puede ser interesante, y se puede explotar más, es la parte de que la lección debe ser completada en un rango de tiempo, yo tenía 30 segundos, eso me parece interesante porque puede ayudar a trabajar mejor en presión. Pero de ahí no existe actividades que impulsen a aprender inglés o mantenerse en esta plataforma.",2,"No hay momentos de participación, a excepción del modo de juego general que solo es escoger la palabra no existen más actividades para que motiven mi participación en la actividad.","El límite de tiempo, 30 segundos, para completar la actividad y llegar a una puntuación más alta.",Es una plataforma básica que no ofrece una motivación constante o actividades dinámicas que me ayuden a aprender inglés. A parte de que los anuncios son muy molestos a la hora de aprender y esta plataforma tiene muchos anuncios.,"Actividades diarias, métodos para llenar lecciones de forma dinámica, cómo pronunciar una palabra, interfaz más amigable, sistema de recompensas, lecciones aleatorias con información o preguntas no repetidas si quiero ver un módulo visto anteriormente."
2026-04-15 18:34:55.555,Duolingo,5,Ninguno,5,Ninguno,1,botones innecesarios,5,Todo fue un proceso guiado y se uso bien los símbolo y palabras dentro de los botones.,5,La interfaz muy intuitiva,5,Permitia escuchar las palabras y selecionarlas.,Las gráficas que se presentaban y lo interractivo que es.,ninguna,"Hacer que solo se habrá una pesteña del navegador, para evitar distraernos en las otras ventanas que se abren y verder el ritmo del aprendizaje.",Grammar Ninja,3,"No entedí para que servía cada botón, además la página no usa otros idiomas que solo el inglés, si bien una persona quiere aprender inglés desde 0, esto se le dificulta por que solo aparece en inglés.",3,"Si, no guíaba como se accedía a cada cosa y para que era necesario.",4,botones confusos,3,"Cada gráfica me ayudo a comprender mejor el lenguaje inglés, sin embargo como lo mencione si fuera principiante las palabras deberían estan en un idioma adecuado( dependiendo del usuario)",3,Juegos que mantenían solo palabras en inglés y no implementaban el significado.,3,"Se sintió algo confuso al principio, pero con la exploración se volvió un poco interactiva.",La representación gráfica,La representación gráfica,Poner signos más relevantes en las imágenes que nos permita entender que si aplasto (un parlante) se puede escuchar la palabra en inglés y no solo al dar click en la palabra.,British Council Games,4,ninguno,4,"No, creo que nada complejo.",1,ninguna,1,"No tenía gráficos que mostraba que significa las palabras, ni tampoco alguna traducción.",1,"Solo eran oraciones, o palabras fue poco interesante la verdad.",1,Una participación muy repetitiva y aburrida de selección de palabras.,Los temas de aprendizaje que tenia,Los anuncios interrumpian mis actividades.,"Hacerla más intuitiva e interactiva, los gráficos y diferentes ejercicios prácticos genera mejor aprendizaje y evitarialos anuncios."
2026-04-15 18:56:01.015,Duolingo,5,Algunas funciones están ocultas o no son visibles fácilmente.,2,"No es compleja, aunque hay pequeños momentos de confusión.",2,"Funciona bien en general, pero funciones están ocultas  o no se ve a simplevista   como la tienda, blog ,etc.",4,Refuerza el aprendizaje mediante repetición constante,4,Sistema de puntos y recompensas. Tambien su diseño visual,4,Reduce el aburrimiento con dinámicas,Los ejercicios interactivos,Ejercicios repetitivos que pueden volverse monótonos,Incluir explicaciones gramaticales más detalladas,British Council Games,3,"La navegación es confusa, muy desorganizado el contenido",4,Mucha carga de informacion  y una falta de guía paso a paso.,3,Diseño poco uniforme entre secciones,4,Ejercicios más completos y educativos,3,Temas reales y lo menos interesante fue el diseño menos atractivo,4,Requiere concentración,Material educativo de alta calidad  con un contenido completo,Navegación poco intuitiva,Hacer la interfaz más atractiva y mejorar la organización del contenido,Grammar Ninja,3,No hay un menú claro,2,Falta de explicación en cada tipo de ejercicio.,3,Cambios en el tipo de actividad sin aviso,4,Usa imágenes que facilitan la asociación,4,Tiene una dinámica rápida y un diseño muy simple,4,Me mantuvo activo durante toda la actividad,Simplicidad en el uso como un juego fácil,Navegación limitada y no hay seguimiento del progreso,Añadir instrucciones claras al inicio y un mayor control del usuario al navegar
2026-04-15 19:17:06.924,Duolingo,5,No,1,No,1,No,3,Si,3,N,4,Positivamente,Los juegos,Ninguna,"Los juegos, la comolejidad",Duolingo,5,No,5,No,5,No,5,No,5,No,5,Positivamente,Los juegos,Ninguna,Ninguno,British Council Games,5,No,5,No,5,No,5,No,5,No,5,No,No,No,No
2026-04-15 19:38:31.416,Duolingo,5,No tuve dificultades,1,No fue nada compleja,1,No encontré inconsistencias,5,Utiliza premios por contestar bien y utiliza imágenes que representan efectivamente las palabras.,5,Utiliza imágenes relacionadas con las palabras y su interfaz no crea ningún tipo de ruido visual.,5,Constantemente interactúe con la interfaz para continuar con el juego de tal manera que no se pierde la atenciòn del usuario.,La utilizaciòn de imágenes que representaban la palabra de manera efectiva.,Ninguna.,Añadir retroalimentaciòn cuando se equivoca.,Grammar Ninja,4,Debería seguir una ruta de estudio.,3,Debería seguir una ruta de estudio.,3,Instrucciones poco claras,4,El juego utiliza repetitivamente las palabras que se enseñan.,3,Los ejercicios no varían por lo tanto pueden causar cansancio en el usuario.,3,Se avanza de nivel pero no es un cambio abrupto por lo que se vuelve tedioso seguir jugando.,Que las actividades se enfocaban en un tema en especifico.,Introducen vocabulario que al no tener una guia de estudio puede confundir al usuario y dejarlo sin completar.,Crear una guia de estudio y bloquear para que vayan avanzando nivel a nivel.,British Council Games,3,Tenia demasiados anuncios y se demoraba en cargar.,3,Se demoraba en cargar.,2,botones que no funcionan y instrucciones poco claras,3,Contiene actividades variadas sobre un mismo tema.,3,Se puede hacer lo mismo en una clase tradicional.,3,Su interfaz llega a cansar visualmente,Las actividades varían y sigue una guia.,Se demora en cargar y al registrarse las indicaciones no son claras.,Su interfaz es muy tradicional e integrar imágenes para captar la atención del usuario.
2026-04-15 20:50:27.764,Duolingo,5,.,2,No hay muchas guias de contenido,1,.,5,Bastantes ejercicios didácticos,5,"Por los colores, personajes y demás",5,Fue bastante manejable,El hecho de que los ejercicios daban alternativas para su resolución,Ninguno,Mejores guias de contenido,British Council Games,3,.,3,ejercicios muy planos,3,No daba retroalimentación,5,"Buenos ejercicios, en la parte teorica",3,Al ser planos no fue muy interesante,2,.,el montón de ejercicios,Que era mucho texto,"Darle mas ""vida""",Grammar Ninja,5,.,1,.,1,.,5,Muy didactica,5,El flujo de actividades,5,.,Sus ejercicios y su forma de interactuar,.,.
2026-04-15 21:37:29.913,Duolingo,5,No tuve dificultades.,1,Ninguno.,1,Ninguno.,4,"El diseño de la aplicación es dinámica, se apoya de imágenes para que el aprendizaje sea visual y podamos retener la información más fácil al asociarlo.",5,"Las imágenes, los audios, completar palabras, unir las palabras.",5,Las imágenes permitieron entender el contexto.,Las imágenes para entender nuevo vocabulario.,Ninguna.,Se me ocurre que se podría agregar sinónimos de cada palabra nueva y ponerla en un orden jerárquico para ser usadas en alguna situación en particular.,Grammar Ninja,3,No tenía muy claro a qué apartado dirigirme para obtener el nivel al que pertenezco o directamente realizar algún curso para empezar.,4,La organización de los componentes en la pantalla.,1,No encontré inconsistencias.,3,Al realizar la prueba de ubicación no obtuve ninguna retroalimentación de los errores que cometí.,2,No había componentes clave que hagan la actividad más interesante.,2,De ninguna manera en particular.,La estructura de los cursos.,"No ofrece directamente las funcionalidades principales en la pantalla, tienes que buscar en donde empezar.","Hacerla más intuitiva para los usuarios, plasmar la funcionalidad principal al inicio.",British Council Games,3,"No había botones para pausar ni indicaciones claras de cómo se debía usar, lo cual generaba confusión.",3,No compleja pero no tenía una manera clara para ser utilizada.,5,Instrucciones poco claras.,4,Muy útil la relación entre imágenes y las frases para tener una buena retención visual.,4,Si fue interesante relacionar las palabras con la imagen según el contexto.,4,La opción de contra reloj hacia que intentara pensar más rápido.,Las imágenes y el tiempo.,No encontraba manera de pausar el juego.,Un diseño claro de cómo utilizar la aplicación sin necesidad de instrucciones.
